Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Createur_de_la_donnee,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,CP,Ville,nom_departement,nom_region,nom_membre,raison_sociale
Chambre d'hôtes la Thonet,"['Lieu', ""Point d'intérêt"", 'Hébergement', ""Chambre d'hôtes"", 'Hébergement locatif']",49.2432971,0.58627809,10 route de Saint Benoist,Eurêka Attractivité - Agence d'Attractivité de l'Eure,2026-04-07,,Gîtes de France#Gîtes de France,"Le Vièvre est une adorable petite région aux accents bien normands : paysages verts tout en relief entre bocage et forêts, petits chemins creux parfaits pour la balade et de jolis villages typiques comme Saint-Georges-du-Vièvre. En son coeur, dans...",27450,Saint-Georges-du-Vièvre,Eure,Normandie,Saint-Georges-du-Vièvre,CC Lieuvin Pays d'Auge
Gîte Made in Normandie,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",48.9098318,0.70749534,5 la Prevostière,Eurêka Attractivité - Agence d'Attractivité de l'Eure,2026-05-04,,4 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France,"Dans un petit coin de campagne bien normand où les chemins ondulent entre villages typiques, herbages, champs et forêts, le gîte Made in Normandie sera le lieu idéal pour une pause bien méritée, en couple comme en famille. Vous serez sous le charme...",27330,Bois-Normand-près-Lyre,Eure,Normandie,Bois-Normand-près-Lyre,CC Interco Normandie Sud Eure
Gîte la Ferme de la côte,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.3015044,1.18628587,1 route de l'Eure,Eurêka Attractivité - Agence d'Attractivité de l'Eure,2026-02-11,,3 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France,"Venez prendre un bon bol d'air et de nature à la Ferme de la côte, à la confluence de l'Eure et de la Seine, en bord de forêt de Bord et à deux pas des étangs de cette magnifique boucle de Seine. Passez le superbe portail d'entrée et faites un...",27340,Les Damps,Eure,Normandie,Les Damps,CA Seine-Eure
La petite ferme des ifs,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.2701,0.59719,369 Rue de Saint-Étienne-l'Allier,Office de Tourisme Lieuvin Pays d'Auge,2026-02-19,,Accueil Paysan#Accueil Paysan,"Bienvenue à La Petite Ferme des Ifs !
Cette longère normande indépendante jusqu'à 12 couchages vous accueille toute l'année. 
En plus de l’accueil classique de groupes, mon gîte est adapté à des séjours à vocation sociale ou éducative : équipes...",27450,Saint-Pierre-des-Ifs,Eure,Normandie,Saint-Pierre-des-Ifs,CC Lieuvin Pays d'Auge
La Petite Ferme des Ifs,"['Lieu', ""Point d'intérêt"", 'Commerce de détail', 'Maison de pays, produits du terroir', 'Boutique, commerce de proximité']",49.2701,0.59719,369 Rue de Saint-Étienne-l'Allier,Office de Tourisme Lieuvin Pays d'Auge,2026-02-26, https://www.facebook.com/lapetitefermedesifs,,,27450,Saint-Pierre-des-Ifs,Eure,Normandie,Saint-Pierre-des-Ifs,CC Lieuvin Pays d'Auge
Harmony Homes La Chapelle-Hareng,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.103128,0.417457,1 Impasse de la Vallée Samson,Office de Tourisme Lieuvin Pays d'Auge,2026-03-04, https://harmonyhomes.io/ https://harmonyhomes.io/,1 étoile#Classement officiel des hébergements touristiques,"Une piscine intérieure toute l'année, un bain nordique sous les étoiles, et cette douceur normande qui invite à ralentir.
À moins de 2h de Paris, cette élégante longère à colombages est nichée au cœur du Pays d'Auge, entre Bernay et Lisieux.
Ici,...",27230,La Chapelle-Hareng,Eure,Normandie,La Chapelle-Hareng,CC Lieuvin Pays d'Auge
Camping GCU Quiberville,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Camping', 'Hôtellerie de plein air']",49.898992,0.91469241,291 Rue du Faux Port,Office de Tourisme Terroir de Caux,2026-05-04, https://www.gcu.asso.fr/terrains/quiberville-seine-maritime-76,1 étoile#Classement officiel des hébergements touristiques,"Camping en autogestion (participatif) réservé aux adhérents du GCU (Groupement des Campeurs Universitaires). Vous y trouverez le calme de la campagne environnante, la plage de galets et de sable à quelques minutes, les sentiers pédestres (GR21), le...",76860,Quiberville,Seine-Maritime,Normandie,,Non_défini
Gîtes de France® - Chez Mlle Rose,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.8742551,0.79811215,5 Rue du Docteur Pierre Girard,Seine-Maritime Attractivité,2026-05-04,,Gîtes de France#Gîtes de France,"Situé au cœur du charmant village de Veules-les-Roses, classé parmi les « Plus Beaux Villages de France », cet appartement vous promet un séjour inoubliable. À seulement quelques pas de la plage et du plus petit fleuve de France, ce logement offre...",76980,Veules-les-Roses,Seine-Maritime,Normandie,Veules-les-Roses,CC de la Côte d'Albâtre
Mme Petit,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.28688,-0.12819,Résidence Cabourg Plage 32 Avenue Charles de Gaulle,OT Cabourg,2026-02-09,,1 étoile#Classement officiel des hébergements touristiques,Appartement vue mer proche thalasso,14390,Cabourg,Calvados,Normandie,Cabourg,CC Normandie-Cabourg-Pays d'Auge
Gîte Le Chalet des Roches,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",48.840344,-0.3788,148 chemin du Coin,Orne Tourisme,2026-05-03, https://www.gites-de-france-orne.com/resa/etape1.php?NUM=G61015&INSTANCE=gites61&OPE=CDT61&ORI=CDT61&&&&& https://www.gites-de-france-orne.com/cgi.php?&OPE=CDT61&ORI=CDT61&NUM=G61015&ACC=G&FICHE=O&INSTANCE=gites61&,3 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France,"Offrez-vous une parenthèse nature à deux pas de la Roche d'Oëtre (1km). Profitez d'une terrasse panoramique sur la vallée de l'Orne, parfaite pour les petits-déjeuners ensoleillés ou les soirées paisibles. Randonnées, accrobranche, paysages sauvages...",61430,Saint-Philbert-sur-Orne,Orne,Normandie,Saint-Philbert-sur-Orne,CA Flers Agglo
Gîte L'escale nature - le gîte,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.1176083,1.20973953,6 rue des petits prés,Eurêka Attractivité - Agence d'Attractivité de l'Eure,2026-04-07,,3 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France,"Une pause nature au cœur de la Vallée de l'Eure, c'est la promesse de ce joli gîte avec piscine chauffée. Magali et Gilles vous accueillent au sein de leur propriété d'1,8 hectares où les activités ne manquent pas : baignade bien sûr, mais aussi...",27490,Cailly-sur-Eure,Eure,Normandie,Cailly-sur-Eure,CA Seine-Eure
Chambre d'hôtes L'escale nature - les chambres,"['Lieu', ""Point d'intérêt"", 'Hébergement', ""Chambre d'hôtes"", 'Hébergement locatif']",49.117775,1.20936134,4 rue des petits prés,Eurêka Attractivité - Agence d'Attractivité de l'Eure,2026-04-07,,Gîtes de France#Gîtes de France,"Une pause nature au cœur de la Vallée de l'Eure, c'est la promesse de cette charmante maison d'hôtes avec piscine chauffée. Magali et Gilles vous accueillent au sein de leur vaste propriété d'1,8 hectares en bord de rivière où les activités ne...",27490,Cailly-sur-Eure,Eure,Normandie,Cailly-sur-Eure,CA Seine-Eure
Chambre d'hôtes L'escale nature - les chambres,"['Lieu', ""Point d'intérêt"", 'Hébergement', ""Chambre d'hôtes"", 'Hébergement locatif']",49.117775,1.20936134,4 rue des petits prés,Eurêka Attractivité - Agence d'Attractivité de l'Eure,2026-04-07,,Gîtes de France#Gîtes de France,"Une pause nature au cœur de la Vallée de l'Eure, c'est la promesse de cette charmante maison d'hôtes avec piscine chauffée. Magali et Gilles vous accueillent au sein de leur vaste propriété d'1,8 hectares en bord de rivière où les activités ne...",27490,Cailly-sur-Eure,Eure,Normandie,Cailly-sur-Eure,CA Seine-Eure
Gîte le Cottage des peintres,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.0422202,1.3205784,23 route Duguesclin,Eurêka Attractivité - Agence d'Attractivité de l'Eure,2026-05-04,,Gîtes de France#Gîtes de France,"Plongez ici dans un lieu hors du temps ! Dès votre arrivée, vous ressentez le caractère paisible et reposant de cette grande propriété où l'on se sent tout de suite bien. Au coeur d'un village plein de charme, typique de la si jolie vallée d'Eure,...",27120,Hardencourt-Cocherel,Eure,Normandie,Hardencourt-Cocherel,CA Seine Normandie Agglomération
Village de la Plage,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.3272859,0.0102395,30 Avenue des Gabions,Calvados Attractivité,2026-01-11,,1 étoile#Classement officiel des hébergements touristiques,Location saisonnière,14640,Villers-sur-Mer,Calvados,Normandie,Villers-sur-Mer,CC Coeur Côte Fleurie
Deauville 2000,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.3286377,0.0110102,456 rue des Martrois Apt 41,Calvados Attractivité,2026-01-11,,1 étoile#Classement officiel des hébergements touristiques,Location saisonnière,14640,Villers-sur-Mer,Calvados,Normandie,Villers-sur-Mer,CC Coeur Côte Fleurie
Le Petit Littoral,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.2835542,-0.2013345,19 Avenue d'Evreux Bat B - Apt 38 Résidence le Littoral,Calvados Attractivité,2026-01-10, https://www.facebook.com/profile.php?id=61556550185785,1 étoile#Classement officiel des hébergements touristiques,"Joli appartement situé dans le village balnéaire de Merville Franceville. Il est dans le centre de Merville, à 50 m de la rue commerçante et 300 m de la plage.
A votre disposition, une pièce de vie avec kitchenette et salon, une salle de douche- WC,...",14810,Merville-Franceville-Plage,Calvados,Normandie,Merville-Franceville-Plage,CC Normandie-Cabourg-Pays d'Auge
La Petite Maison de Littry,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.23648,-0.86714,30 Rue Jean-Claude Betton,Calvados Attractivité,2026-02-17, https://www.airbnb.fr/rooms/1157896178376569727,1 étoile#Classement officiel des hébergements touristiques,Location saisonnière,14330,Le Molay-Littry,Calvados,Normandie,Le Molay-Littry,CC Isigny-Omaha Intercom
Surcouf V&V,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.2751,-0.69745,22 Rue du Petit Rouen Batiment A premier etage,OT Bayeux Intercom,2026-03-02,,2 étoiles#Classement officiel des hébergements touristiques,Appartement présent sur la plate-forme Airbnb au nom de Surcouf V&V,14400,Bayeux,Calvados,Normandie,Bayeux,CC de Bayeux Intercom
Appart Quai Sud,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.3872148,-1.0483463,2 bis Rue du Petit Maisy,OT Isigny-Omaha,2026-02-19, https://www.gites-de-france-calvados.fr/location-vacances-Gite-Appart-Quai-Sud-a-Grandcamp-maisy-14G3288.html,3 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France,"Bénéficiant d'une belle vue sur le port et la mer au loin depuis le balcon et le séjour, cet appartement agréable, très lumineux et moderne vous garanti confort et
bien-être. Les larges fenêtres vitrées du séjour ainsi que le balcon permettent de...",14450,Grandcamp-Maisy,Calvados,Normandie,Grandcamp-Maisy,CC Isigny-Omaha Intercom
Lucien,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.4246261,0.222259,22 route Alphonse Marais 22 Rue Adolphe Marais,Office de tourisme de Cœur de Nacre,2026-02-19, https://www.honfleurnc.com/,2 étoiles#Classement officiel des hébergements touristiques,"New Cottage est une charmante maison anglo-normande rénovée avec goût, située face à la plage, dans un cadre calme et verdoyant à Honfleur. Elle offre une vue imprenable sur l’estuaire de la Seine et le Havre, tout en étant à environ 7 minutes à...",14600,Honfleur,Calvados,Normandie,Honfleur,CC du Pays de Honfleur-Beuzeville
Sacha,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.4246261,0.222259,22 route Alphonse Marais 22 Rue Adolphe Marais,Office de tourisme de Cœur de Nacre,2026-02-17, https://www.honfleurnc.com/,2 étoiles#Classement officiel des hébergements touristiques,"Le studio Sacha tire son nom du dramaturge célèbre Sacha Guitry, qui a un lien historique fort avec la maison New Cottage où il s'est marié en 1907. Ce studio offre une atmosphère chaleureuse et cosy, avec un style élégant mêlant charme normand et...",14600,Honfleur,Calvados,Normandie,Honfleur,CC du Pays de Honfleur-Beuzeville
La p'tite maison - Mme Sanchez,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.32363,-0.45445,85 Rue de l'Église,Office de tourisme de Cœur de Nacre,2026-05-06,,3 étoiles#Classement officiel des hébergements touristiques,"Maison de plain-pied avec jardin clos : L'endroit rêvé pour des vacances en famille à Courseulles-sur-Mer
Besoin d'un lieu de vacances qui allie simplicité, sécurité et confort ? Notre maison de plain-pied est une pépite pour les familles avec de...",14470,Courseulles-sur-Mer,Calvados,Normandie,Courseulles-sur-Mer,CC Coeur de Nacre
Juno Vélo - Location de vélos à Saint-Aubin-sur-Mer,"['Lieu', ""Point d'intérêt"", 'Site sportif, récréatif et de loisirs', 'Loueur de matériel', 'Prestataire de service']",49.32657,-0.3868869,20 Route de Langrune,Office de tourisme de Cœur de Nacre,2026-05-05, https://junovelo.fr/ https://junovelo.fr/<> https://www.facebook.com/profile.php?id=100090053301330<> https://www.instagram.com/juno.velo/,Accueil Vélo#France Vélo Tourisme,"Votre location de vélo à Saint-Aubin-sur-Mer. Pour vos balades en famille, vos voyages de plusieurs jours  ou vos séminaires, il existe un Juno vélo adapté. Avec assistance électrique ou à la force des mollets découvrez aussi nos circuits...",14750,Saint-Aubin-sur-Mer,Calvados,Normandie,Saint-Aubin-sur-Mer,CC Coeur de Nacre
Meublé de tourisme > Maison Barfleur,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.668007,-1.2603972,28 rue Julie Postel,OT Cotentin,2026-05-07, https://www.airbnb.de/h/maisonbarfleur<> https://www.facebook.com/MaisonBarfleur/,3 étoiles#Classement officiel des hébergements touristiques,"Cette maison de bord de mer unique possède un style tout à fait particulier et merveilleux. Construite en 1885, elle a été rénovée avec soin et élégance en 2021. Un refuge historique dans le charmant village de pêcheurs de Barfleur, élu comme l’un...",50760,Barfleur,Manche,Normandie,Barfleur,CA du Cotentin
Meublé de tourisme > La Chambre de Carole,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",48.5254237,-1.4790046,8 rue Les Guilletières,OT MSM Normandie,2026-01-06,,2 étoiles#Classement officiel des hébergements touristiques,"Meublé touristique de 14m² classé 2 étoiles - Détente assurée dans ce studio en campagne à 4 kms de Pontorson, 13 kms du Mont Saint-Michel dans la maison du propriétaire mais complétement indépendant. Le logement comporte une entrée indépendante,...",50170,Aucey-la-Plaine,Manche,Normandie,Aucey-la-Plaine,CA Mont-Saint-Michel-Normandie
Gîtes de France G1259 : La Maison du Ptit Fermier,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",48.82825,-1.21685,12 La Froide Vallée,Attitude Manche,2026-04-28,,3 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France,"Tout proche de Villedieu les Poëles (Ville et Métiers d'Art) et son centre historique, la maison du Ptit Fermier est au creux d'un vallon verdoyant des plus paisibles. Au bout du chemin, vous découvrirez en effet cette maison de famille confortable...",50800,Villedieu-les-Poêles-Rouffigny,Manche,Normandie,Villedieu-les-Poêles-Rouffigny,CC de Villedieu Intercom
Gîtes de France G1258 : La Grange,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",48.97316,-1.49956,35bis rue des Pommiers,Attitude Manche,2026-04-29,,3 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France,"Ce paisible hameau est un lieu propice aux vacances. Chantal et Lionel ont rénové complétement cet authentique bâtiment fermier en pierre et masse. Derrière le beau bardage bois, ils ont aménagé un gîte chaleureux doté d'un poêle à bois apprécié à...",50660,Quettreville-sur-Sienne,Manche,Normandie,Quettreville-sur-Sienne,CC Coutances Mer et Bocage
Gîtes de France G3332 : L'Olivier,"['Lieu', ""Point d'intérêt"", 'Hébergement', ""Chambre d'hôtes"", 'Hébergement locatif']",49.45001,-1.69495,Le Vrétot 351 Impasse la Helleterie,Attitude Manche,2026-04-29,,Gîtes de France#Gîtes de France,"A quelques minutes des plages, la maison est dotée d'un joli parc arboré et domine un petit étang. A l'heure du petit-déjeuner (type continental uniquement), servi dans la véranda, la vue y est dégagée et très agréable sur ce décor champêtre. Céline...",50260,Bricquebec-en-Cotentin,Manche,Normandie,Bricquebec-en-Cotentin,CA du Cotentin
Le gîte des Papillon,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.8527651,0.9264121,170 Rue du Vauban,Office de Tourisme Terroir de Caux,2026-05-04,,3 étoiles#Classement officiel des hébergements touristiques,"Le gîte des Papillon vous accueille dans un endroit paisible, à 5 minutes de la plage idéalement situé pour profiter de la côte d'albâtre.
Aménagement intérieur neuf avec terrasse privative, tous commerces à proximité. Parking gratuit juste devant...",76730,Avremesnil,Seine-Maritime,Normandie,Avremesnil,CC Terroir de Caux
Le Perchoir Cosy,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",48.5208589,0.5441185,27 Place de la République,Orne Tourisme,2026-05-01,,2 étoiles#Classement officiel des hébergements touristiques,"Le Perchoir Cosy vous accueille à Mortagne-au-Perche, au cœur d'un bourg pittoresque et vivant. Une petite cité de caractère au cœur du Perche, qui allie histoire, terroir et douceur de vivre. Vous séjournerez dans un appartement de charme de 60 m2,...",61400,Mortagne-au-Perche,Orne,Normandie,Mortagne-au-Perche,CC du Pays de Mortagne-au-Perche
Gîte La Vigne,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",48.552489,-0.404456,"48, Avenue du Docteur Paul Lem",Orne Tourisme,2026-05-01, https://www.gites-de-france-orne.com/cgi.php?&OPE=CDT61&ORI=CDT61&NUM=G61017&ACC=G&FICHE=O&INSTANCE=gites61& https://www.gites-de-france-orne.com/resa/etape1.php?NUM=G61017&INSTANCE=gites61&OPE=CDT61&ORI=CDT61&&&&&,Accueil Vélo#France Vélo Tourisme|Gîtes de France#Gîtes de France,"Plongez dans l'élégance d'une maison indépendante de style Belle Époque typique de Bagnoles de l'Orne, pour 10 adultes + 5 enfants avec jardin clos pour se retrouve en toute tranquillité. À deux pas de la forêt des Andaines, partez à la découverte...",61140,Bagnoles de l'Orne Normandie,Orne,Normandie,Bagnoles de l'Orne Normandie,CC Andaine - Passais
Gîte Les Tilleuls,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.0796666,1.51861111,3 rue des chandeliers,Eurêka Attractivité - Agence d'Attractivité de l'Eure,2026-04-07,,3 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France,"Au coeur du célèbre village de Giverny, cette belle maison ancienne vous séduira par son caractère et son charme. Vous aimerez son atmosphère chaleureuse et l'esprit maison de famille : la déco fait une large place au mobilier ancien dans une...",27620,Giverny,Eure,Normandie,Giverny,CA Seine Normandie Agglomération
Gîte Le Parc de Courteilles,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",48.7346258,1.00985852,Le Jarrier,Eurêka Attractivité - Agence d'Attractivité de l'Eure,2026-04-07,,Gîtes de France#Gîtes de France,"Dans la pittoresque vallée de l'Avre, cette élégante maison de maître sur son magnifique parc de 12 hectares a retrouvé toute sa superbe ! Elle est aujourd'hui le coeur de ce lieu écotouristique dédié au ressourcement et à votre bien-être ; un site...",27130,Courteilles,Eure,Normandie,Courteilles,CC Interco Normandie Sud Eure
La Maison Bleue,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.34866,-0.75785,16 Rue du Phare,Calvados Attractivité,2026-02-06, https://www.lamaisonbleueportenbessin.com/,2 étoiles#Classement officiel des hébergements touristiques,Maison de pêcheur au cœur du village de Port-en-Bessin avec 4 chambres et terrasse. Vue sur la mer depuis deuxième étage.,14520,Port-en-Bessin-Huppain,Calvados,Normandie,Port-en-Bessin-Huppain,CC de Bayeux Intercom
La Mezzanine d'au Sans Pareil,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.41753,0.23635,26 Rue Saint-Léonard 1211 Chemin des Monts,Calvados Attractivité,2026-01-10, https://www.ausanspareilhonfleur.com/fr,1 étoile#Classement officiel des hébergements touristiques,C'est un appartement en location saisonnière,14600,Honfleur,Calvados,Normandie,Honfleur,CC du Pays de Honfleur-Beuzeville
Boutique Hôtel La Particulière,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hôtel', 'Hôtellerie']",49.18459,-0.3666,12 Rue des Cordeliers,OT Caen la Mer,2026-05-06, https://app.mews.com/distributor/b536b8f9-0573-4962-b8de-b1a100e188bf?_gl=1*neoh8e*_gcl_au*NzI5OTU4OTUzLjE3NTk3NDQzODY https://www.laparticuliere.fr/<> https://laparticulie.re/fb<> https://laparticulie.re/IG,4 étoiles#Classement officiel des hébergements touristiques,"Découvrez l’authenticité et le charme d’un hôtel niché dans un bâtiment historique. Son architecture caractéristique et sa décoration distinctive vous offrent une expérience unique, où chaque détail est pensé pour rendre votre séjour agréable.
Pour...",14000,Caen,Calvados,Normandie,Caen,CU Caen la Mer
L'Erisa,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.249925,0.052044,12 Chemin de l'Église Domaine des Sources,OT Terre d'Auge Tourisme,2026-01-10,,4 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France,Gite l'Erisa : activité de location meublée saisonnière,14430,Annebault,Calvados,Normandie,Annebault,CC Terre d'Auge
Les Terrasses sur Seine,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.0904005,1.49236799,57 quai anatole Caméré,Office de Tourisme Seine Normandie Agglomération,2026-03-05, https://www.lesbalconssurseine.fr/fr https://www.lesbalconssurseine.fr/fr,3 étoiles#Classement officiel des hébergements touristiques,"Profitez d'une vue exceptionnelle sur la Seine depuis votre chambre et d'une large terrasse privative surplombant le fleuve, avec tables, chaises et confortables transats. L'appartement est équipé de tout le confort nécessaire à la bonne qualité de...",27200,Vernon,Eure,Normandie,Vernon,CA Seine Normandie Agglomération
M. LE LOIRE,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.3641686,0.07074437,"133, place Saint Marcouf Port Deauville - Les marinas",OT SPL Deauville,2026-01-10,,3 étoiles#Classement officiel des hébergements touristiques,"Bel appartement 3p duplex dans la marina de Deauville. 
6 couchages
2e étage
Plein sud
1 place de parking
Ménage final inclus
Calme, ensoleillé, vue marina et plage de toutes les pièces
5mn plage, Planches de Deauville, commerces
10mn gare SNCF

Au...",14800,Deauville,Calvados,Normandie,Deauville,CC Coeur Côte Fleurie
Le Bord de Mer - Cabourg Plage,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.2900849,-0.1299816,32 Avenue Charles de Gaulle Résidence Cabourg Plage - Bât 7,Calvados Attractivité,2026-04-14,,2 étoiles#Classement officiel des hébergements touristiques,"La résidence Cabourg Plage est composée de 7 bâtiments sur un terrain de plus de 2 ha aménages en espaces verts, à l'écart du bruit et de la circulation. Fermée par une barrière électrique actionnée par télécommande, le stationnement est libre dans...",14390,Cabourg,Calvados,Normandie,Cabourg,CC Normandie-Cabourg-Pays d'Auge
THANIS,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.33927,-0.62379,10 Boulevard Gilbert Longuet,Calvados Attractivité,2026-01-10,,2 étoiles#Classement officiel des hébergements touristiques,"Studio de 29 m2 situé a 150m de la plage,terrasse avec salon de jardin et fauteuils inclinable. Place de parking privée dans une cour fermée.Logement pour 2 personnes avec lit, salon et cuisine équipée et aménagée.  Linge de lit fourni. Salle de...",14117,Arromanches-les-Bains,Calvados,Normandie,Arromanches-les-Bains,CC de Bayeux Intercom
La Vignerie,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.1471341,0.02710175,La Vignerie Saint-Laurent-du-Mont 607 route du Montargis,OT Lisieux Normandie Tourisme,2026-04-02,,3 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France,"Aménagées dans un ancien pressoir augeron du XVIIè siècle (où vous pourrez découvrir les mécanismes d'origine), ce gîte très spacieux s'ouvre sur un jardin très agréable orienté plein sud. Vous apprécierez le calme et la qualité de cet environnement...",14340,Cambremer,Calvados,Normandie,Cambremer,CA Lisieux Normandie
Meublé de tourisme > Le Marlo,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",48.6177731,-1.3102843,2 rue de l'Abbaye,OT MSM Normandie,2026-05-07,,2 étoiles#Classement officiel des hébergements touristiques,"Le Marlo, classé meublé de tourisme 2*, maison de bourg de 63m².
La maison est complètement rénovée en aillant gardé tout le charme, équipements à neuf, peinture, sol, décoration, tout est là pour vous séduire.
Le logement se situe à proximité de...",50220,Poilley,Manche,Normandie,Poilley,CA Mont-Saint-Michel-Normandie
Gîtes de France G1261 : L'Escale du Cul de Loup,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.59073,-1.29208,54 rue du Stade,Attitude Manche,2026-02-23,,4 étoiles#Classement officiel des hébergements touristiques|Gîtes de France#Gîtes de France,"Simon se fera un plaisir de vous accueillir dans ce pavillon sur sous-sol qu'il a entièrement rénové et préparé avec beaucoup de soin. Le grand séjour, baigné de lumière car désormais ouvert sur la cuisine, est une belle pièce conviviale. L'ancien...",50630,Quettehou,Manche,Normandie,Quettehou,CA du Cotentin
Gîtes de France G1274 : La Maison Annevillaise,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",49.6275,-1.28271,3 Les Croûtes,Attitude Manche,2026-05-07,,Gîtes de France#Gîtes de France,"Le chemin qui mène à cet ancien corps de ferme isolé vous immerge progressivement dans la campagne et le grand verger que vous longerez à l'entrée de la propriété marque un peu plus votre arrivée en Normandie. Dans ce bel écrin, vous coulerez des...",50760,Anneville-en-Saire,Manche,Normandie,Anneville-en-Saire,CA du Cotentin
Gîtes de France G1267 : La Vie Tranqu'île,"['Lieu', ""Point d'intérêt"", 'Hébergement', 'Hébergement locatif', 'Meublés de tourisme']",48.98022,-1.54167,119 Rue des Giberies,Attitude Manche,2026-04-29,,Gîtes de France#Gîtes de France,"Dans un quartier résidentiel des plus paisibles, Stéphane vous partage la maison qu'il a fait construire dans ce petit coin tranquille du littoral manchois. Entourée d'un très bel espace vert, cette villa est généreuse dans ses dimensions et...",50590,Montmartin-sur-Mer,Manche,Normandie,Montmartin-sur-Mer,CC Coutances Mer et Bocage
